Feature,Importance
19:3363749-3971503,0.10584765
16:68606309-68648091,0.09483355
6:80170446-80661257,0.0623417
3:193425674-193467200,0.05786662
6:18550170-19001738,0.0557311
12:74728500-75387573,0.04806177
19:10213505-10628317,0.03498324
22:41293579-41298170,0.032533616
8:36512939-36612488,0.030196976
18:2427324-2694258,0.02737176
16:67314736-68371045,0.025664527
8:35875555-36133992,0.023862572
17:35076296-35282086,0.020291768
21:13461550-13635227,0.01951103
12:85986743-87258350,0.017073974
1:16954838-16997273,0.01706477
20:15036230-15158545,0.016378533
23:1702016-1706462,0.015013158
3:164454066-166625316,0.014077011
3:12735694-14873985,0.0136524765
16:68710277-68751390,0.0131089585
1:37599215-38399540,0.012782065
20:59844907-60188644,0.012515517
1:3521345-3798798,0.012468442
12:42221157-42337973,0.012245017
20:771302-1487457,0.011950979
3:196908262-196937230,0.0115471
1:143543580-144966156,0.011236699
19:3983752-5360390,0.010953073
19:17377353-17885285,0.010303771
6:19049822-20716660,0.010011984
1:199087690-199111062,0.008726916
11:76858917-77204725,0.0084722955
2:165662108-171006374,0.007819983
12:64727853-66012212,0.0074004135
6:32732764-32738443,0.0073673255
5:70716278-70721505,0.0072986227
1:149579637-149582884,0.0067243166
18:36996895-42435594,0.0064582033
5:154006451-157875296,0.006403755
3:41249898-46752789,0.0051287487
4:119714411-119812578,0.0045457985
4:69215734-69311985,0.004510585
22:41307174-41912419,0.004349693
15:44193179-48393597,0.0035665617
23:83340047-88078465,0.0034518444
23:152552851-152570071,0.0033997872
16:86985669-88124384,0.0032116212
1:116880909-116906096,0.0030781068
7:40225102-41541560,0.0028663068
1:193480150-193527058,0.0026602317
6:32766023-32821094,0.0026249797
4:171088261-178331211,0.0025624281
16:191307-2499608,0.0024368118
18:18979399-19204173,0.0023319474
1:74137824-74816963,0.0018060722
2:132974227-139709714,0.0015214155
3:4109224-4214897,0.0014042397
6:1358498-1359129,0.0012025435
16:29063624-29528190,0.0011180396
14:22022060-22034704,0.001075029
10:46396163-46568496,0.0010664788
17:78572201-78653545,0.0010127901
17:1859252-1859812,0.0010035704
6:32672983-32702995,0.0010026441
22:41221190-41290227,0.00095641945
2:174901679-180212390,0.000804252
6:252939-284743,0.0007502817
1:72489681-72620747,0.00072040374
5:152572508-153979903,0.0006822825
18:18594203-18968555,0.0006173745
5:51881238-54336548,0.00058069784
9:210253-528529,0.0005294599
17:37055494-37151062,0.000524995
1:48841029-48963712,0.00047347767
16:41636-151666,0.00040505087
15:32605086-32654561,0.0003870048
17:23641542-23815398,0.00035182326
7:158528292-158617983,0.00031662243
5:802518-826044,0.00026501357
9:21698371-22292223,0.00024323484
22:17298569-17337860,0.00010758027
8:35694285-35751327,0.00010431235
7:38212614-38223575,5.455916e-05
7:43002620-45737633,1.7151655e-05
12:70574871-71644041,1.657311e-05
