Sample,Subgroup,22:41307174-41912419,15:21195208-21982746,15:18362555-18431773,6:131304839-132036965,3:75845446-75858339,14:73071404-73092018,8:39368509-39505256,8:39356595-39363050,17:35076296-35282086,3:137852057-143671669,8:97415915-97633935,16:68710277-68751390,17:48882141-49169293,12:64727853-66012212,22:22695759-22714749,4:69215734-69311985,14:19268776-19330937,14:67886288-68140129,11:15925810-16521314,15:18657388-18683110,20:58516115-59189405,14:51010758-52051333,6:89106148-90015649,6:160123384-160978168,7:143321677-143391065,1:1271190-1590570,8:68236561-69486500,1:245150122-245299678,22:40072147-41213949,19:14154925-14202425,16:82128902-83298645,6:4651403-4923955,20:8747-57263,12:85118-207283,3:75870144-75896020,8:76956931-78656441,23:153997146-154492924,3:75479859-75535753,18:24650677-28276824,17:33315580-33322972,15:32605086-32654561,5:159735059-161722215,16:68606309-68648091,14:57601882-59282484,6:204528-238441,23:268930-281246,12:69315717-70369674,17:40859120-40926154,1:2664285-2665530,1:244693374-244865778,12:5997138-7884886,12:11404653-11430887,14:18149473-18537177,3:75546791-75799957,12:63574243-64694907,17:27364248-27450834,1:16954838-16997273,2:132210961-132323628,11:103640528-105452607,16:69391442-69397102,12:49299695-51238169,1:3810936-6606212,1:42754729-43839204,6:40747924-42826227,18:4316-75432,13:77224204-78743491,5:69274433-70345552,23:91632143-92103804,8:29497110-29571339,17:55188840-55219333,2:485052-3016048,4:162347852-163724527,5:180379352-180644810,3:127015333-127130406,15:20307869-20387327,1:149591108-149598429,23:152422390-152548587,8:53262924-54668893,14:21464924-21511829,6:32672983-32702995,14:21518235-22000194,1:1676445-1703748,8:39535655-39813797
Array.129,HER2+,0,-1,0,1,-1,0,-1,-1,2,0,0,1,1,1,-1,1,1,0,-1,0,1,0,0,-1,0,0,0,0,0,0,1,0,0,1,-1,0,1,-1,-1,-1,-1,0,0,0,0,0,1,-1,0,1,1,1,0,-1,1,1,0,0,-1,1,1,0,0,0,-1,0,-1,1,-1,1,1,0,0,0,-1,1,2,0,0,0,0,0,-1
Array.34,HR+,0,0,0,-1,-1,0,0,0,0,0,1,0,0,2,-1,0,0,-1,0,0,2,0,-1,-1,0,0,1,0,0,-1,0,0,0,0,-1,1,1,-1,0,0,0,-1,0,0,0,0,-1,0,0,1,0,0,1,-1,2,0,0,1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,1,1,1,1,-1,1,0,0
Array.67,HR+,0,-1,-1,-1,0,-1,2,2,-1,0,1,-1,-1,0,1,0,-1,1,0,-1,0,-1,-1,-1,-1,0,1,0,0,-1,-1,0,0,0,0,1,1,0,0,-1,-1,-1,-1,1,0,1,0,-1,0,1,0,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,1,1,-1,0,-1,-1,0,-1,0,1,1,0,-1,0,0,0
Array.24,Triple Neg,0,-1,-1,-1,-1,0,0,0,0,-1,1,0,1,-1,0,0,2,1,-1,-1,0,-1,-1,-1,-1,0,1,-1,0,0,0,1,0,-1,-1,1,0,-1,1,0,-1,-1,0,-1,-1,1,-1,1,0,0,-1,-1,2,-1,-1,-1,-1,-1,1,0,0,0,1,0,1,-1,-1,1,0,1,1,-1,-1,0,-1,-1,0,0,-1,0,-1,-1,0
Array.36,HR+,-1,0,0,0,0,-1,-1,-1,-1,0,0,-1,-1,0,-1,-1,0,-1,0,0,-1,-1,0,0,0,0,0,-1,-1,-1,0,0,1,-1,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,1,0,1,-1,1,0,-1
Array.49,HER2+,-1,0,0,0,0,-1,2,2,2,0,2,-1,1,1,-1,-1,-1,0,-1,0,0,0,0,0,2,0,2,0,-1,0,-1,1,0,0,0,2,1,0,0,0,0,-1,-1,0,0,0,0,-1,0,1,0,0,0,0,0,2,-1,0,-1,-1,0,-1,-1,0,-1,-1,-1,1,-1,2,0,0,1,0,0,1,1,2,0,0,0,0,1
Array.16,HER2+,0,0,0,0,0,1,-1,-1,2,0,1,-1,1,0,1,-1,0,-1,-1,0,1,0,0,0,1,0,1,1,0,0,-1,0,0,0,-1,1,1,-1,-1,-1,0,-1,-1,-1,0,0,0,-1,0,1,0,-1,0,0,0,-1,-1,0,0,-1,0,-1,-1,0,0,0,-1,0,1,2,0,0,-1,0,-1,1,1,0,0,0,0,0,0
Array.146,Triple Neg,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,-1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Array.65,HR+,-1,0,0,-1,0,-1,1,1,0,0,0,-1,1,0,-1,-1,0,1,0,1,1,1,-1,-1,1,0,0,1,-1,0,-1,0,1,0,0,0,2,0,-1,0,0,1,-1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,-1,-1,0,1,0,1,-1,0,1,0,0,1,1,0,1,0,1,0,0
Array.62,Triple Neg,1,0,0,0,-1,0,1,1,0,1,2,1,1,0,1,-1,-1,0,0,0,1,0,1,0,1,1,2,1,1,2,1,1,0,1,-1,2,1,0,1,0,0,0,1,0,-1,1,0,1,1,0,2,0,0,0,0,0,1,0,0,1,1,1,1,1,0,-1,1,1,0,1,0,0,0,0,0,2,1,1,0,1,0,1,1
