Feature,Importance
1:149591108-149598429,0.10854113
22:28922568-30224848,0.10471671
15:27009381-32443495,0.08570823
6:18550170-19001738,0.07856373
12:70462057-70560603,0.057081692
16:69391442-69397102,0.05178786
9:43948886-45739077,0.051017404
17:35076296-35282086,0.04065322
12:63574243-64694907,0.029669158
11:7803570-10028138,0.029427927
16:67314736-68371045,0.028797481
22:22725750-22731544,0.022014398
10:135142920-135266354,0.019510463
4:70442343-70445716,0.019315274
5:71077546-89933522,0.018843375
19:56816785-56859204,0.015561647
22:32984614-33685030,0.015544877
3:88671596-89473678,0.0155431
4:162205286-162321148,0.014395692
17:55188840-55219333,0.014331185
14:106216726-106349756,0.012877678
6:19049822-20716660,0.012264625
17:38035466-38070950,0.010256947
1:85022-216735,0.009436653
15:39590440-39979013,0.008695985
23:1672003-1687507,0.008608145
8:8117271-8132139,0.008006997
19:59406523-59440274,0.007985666
16:29560500-29582349,0.0072146496
2:39284752-41599090,0.0060628536
22:15270151-15403609,0.005618097
5:150148732-150201145,0.0052481582
11:58566389-58626432,0.0052423067
6:611289-618999,0.0050978884
11:78005966-78127149,0.0048105316
6:75632175-75961320,0.004803572
4:102672728-104401802,0.0045525557
8:38599339-38743232,0.004114461
11:19570565-20098137,0.0041134194
10:117210751-120581888,0.0028876946
8:37028146-37290782,0.0027539586
1:149579637-149582884,0.0026761126
6:32605300-32629848,0.0024932357
17:77653668-77696106,0.0023357277
17:10999-29169,0.0023228812
17:41577520-41644979,0.0023118232
1:149369522-149394958,0.0022037232
16:29063624-29528190,0.00207676
11:69703427-69736816,0.002067545
21:39030818-39918819,0.0019535488
1:193480150-193527058,0.0019527184
16:47717059-48773160,0.001770086
1:23469376-25318800,0.0017156077
17:41062669-41447005,0.001653758
5:62457701-65999278,0.0015388773
8:36512939-36612488,0.0013660275
6:32718991-32728487,0.0013400195
17:43389085-43525899,0.0013030228
3:46761824-46823673,0.0010807414
14:21420105-21448635,0.0007466362
3:87336579-87661897,0.0007123307
23:282116-343473,0.0007061521
9:138275716-138301699,0.00064357265
6:63057692-64614816,0.00033509234
16:30561643-31835555,0.00028330646
6:1292057-1353261,0.00025486876
3:75479859-75535753,0.00018153961
9:153131-194193,0.00015298974
11:55124730-55194990,7.326841e-05
17:77442683-77478901,7.06335e-05
