Feature,Importance
1:103819551-103875725,0.11984108
5:150148732-150201145,0.10061082
8:117915188-119933236,0.07451989
12:85450052-85962613,0.055753343
5:150224239-152555267,0.050805613
8:115852788-116921245,0.049716774
3:127138046-128434521,0.036868762
17:35076296-35282086,0.031658974
16:68667006-68679377,0.031566005
16:68710277-68751390,0.028561749
15:39590440-39979013,0.027242009
8:143780031-144945861,0.023296935
5:69274433-70345552,0.019080378
4:70442343-70445716,0.017217292
1:149591108-149598429,0.015559053
5:763494-786455,0.014661315
10:37153306-37598792,0.0141658615
3:4109224-4214897,0.0133162765
11:61339118-61799979,0.012802281
22:41221190-41290227,0.012272037
12:70462057-70560603,0.012242172
11:74793604-75303124,0.011323389
16:58452085-59295365,0.010808551
17:45197191-45278938,0.010788557
5:140203440-140221835,0.010008755
3:119496988-123302196,0.009364718
6:18550170-19001738,0.008707426
12:64727853-66012212,0.008019911
1:16757397-16794038,0.007997374
3:196908262-196937230,0.0071267025
3:75479859-75535753,0.0070995856
6:14553443-16323782,0.0070758974
1:149579637-149582884,0.006990114
8:28568337-28877291,0.006837668
8:96256921-97415885,0.0059051174
9:42913008-43066618,0.0054750773
6:32732764-32738443,0.005209548
3:46761824-46823673,0.0051373146
19:20422576-20493401,0.0049519436
6:109441576-110404222,0.004867044
22:37683612-37705310,0.004603919
16:86985669-88124384,0.004339797
11:80023540-80218800,0.0042305086
16:32378126-32748349,0.0040907473
22:22681244-22690716,0.0037619341
14:19997548-20406205,0.003416687
22:36658231-37678070,0.0033002752
11:82599955-82867442,0.0029460303
1:149369522-149394958,0.002924762
8:35005401-35166837,0.0028740605
8:120266140-121155354,0.0028320684
16:86462708-86560114,0.002747223
6:18502918-18536678,0.0027463678
1:199087690-199111062,0.0027108497
1:145820605-146012014,0.002665352
17:77442683-77478901,0.0026513285
1:16954838-16997273,0.0026278517
1:193556792-193630262,0.0024679694
11:82288127-82586347,0.0024080954
6:69133049-69809498,0.002310708
6:5839-85465,0.0022982291
8:50522918-51919678,0.0022144483
22:22651385-22665928,0.0021351124
6:1358498-1359129,0.001942477
1:193480150-193527058,0.0019109498
14:105857193-105881279,0.001827216
3:18712267-19922255,0.0018062444
17:24093273-24104500,0.0017838213
1:142570866-142598507,0.0014922889
6:12512986-14535258,0.0014530764
18:75205199-75248694,0.001418243
1:244627520-244676774,0.00141555
11:57020510-57237001,0.00138925
19:55204293-55567209,0.0013323982
17:984101-1003742,0.0011949318
2:147700457-158902610,0.0008898917
23:152994680-153054487,0.0008016326
17:77503378-77503685,0.00073116313
8:91015577-92330975,0.0006656023
6:334423-600935,0.0006547806
5:70716278-70721505,0.0006459886
22:15523118-15563672,0.00061960093
16:86571161-86861829,0.00045716838
14:19535787-19582682,0.0004109924
8:166452-181530,0.0001899529
5:154006451-157875296,0.00013612854
14:73106558-73114128,3.78049e-05
15:18722595-18790589,3.5222376e-05
