Sample,Subgroup,1:25354765-25402278,1:149369522-149394958,4:162205286-162321148,6:32718991-32728487,6:40747924-42826227,6:64633346-64705894,6:69820589-70731852,8:36426253-36481039,8:36512939-36612488,8:36627162-36673994,8:42123757-42175380,9:42913008-43066618,11:83733321-85064586,12:63574243-64694907,12:64727853-66012212,12:66035532-66948440,12:85986743-87258350,12:87329145-88538415,14:35347136-36478421,14:105602756-105630089,14:105708209-105839439,15:44193179-48393597,15:55258039-57620619,16:30561643-31835555,16:67314736-68371045,16:68880321-69381055,16:69391442-69397102,16:69763173-70593293,17:1703729-1713758,17:35076296-35282086,17:37416931-38029088,17:38035466-38070950,17:38077519-38710043,17:39139634-39275931,17:39280577-40847517,17:41062669-41447005,17:41458670-41494331,17:41983407-42049540,17:61247968-61578637,17:61733108-61833313,17:78572201-78653545,20:194755-763411,20:61795796-62379059,22:22725750-22731544,22:27829159-28903600
Array.129,HER2+,1,1,0,-1,0,0,0,-1,-1,-1,-1,0,-1,1,1,1,0,0,0,0,0,1,-1,0,1,1,1,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1,-1,-1
Array.34,HR+,1,-1,0,-1,0,-1,-1,0,0,1,-1,0,-1,2,2,2,1,2,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0
Array.67,HR+,-1,0,-1,-1,0,0,0,1,1,1,-1,1,0,0,0,0,0,0,0,1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,0,0,0,0
Array.24,Triple Neg,0,-1,-1,0,0,0,-1,0,0,0,0,-1,1,-1,-1,-1,0,0,-1,-1,0,-1,-1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,2,0,0,1,1
Array.22,Triple Neg,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Array.36,HR+,0,0,0,-1,0,0,0,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,0,1,2,-1,-1
Array.16,HER2+,-1,-1,0,0,0,-1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0
Array.62,Triple Neg,-1,0,0,1,1,2,2,1,1,1,1,1,0,0,0,0,-1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
Array.4,HER2+,-1,1,0,-1,-1,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,1,1,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
Array.76,HER2+,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1
