Sample,Subgroup,6:89106148-90015649,17:35076296-35282086
Array.129,HER2+,0,2
Array.34,HR+,-1,0
Array.67,HR+,-1,-1
Array.24,Triple Neg,-1,0
Array.36,HR+,0,-1
Array.49,HER2+,0,2
Array.16,HER2+,0,2
Array.146,Triple Neg,0,0
Array.65,HR+,-1,0
Array.62,Triple Neg,1,0
Array.118,Triple Neg,1,0
Array.154,Triple Neg,0,0
Array.6,HER2+,-1,2
Array.39,HR+,0,0
Array.86,HR+,-1,-1
Array.79,HER2+,-1,2
Array.27,HR+,0,0
Array.106,HER2+,0,2
Array.110,HER2+,0,2
Array.95,HR+,0,0
Array.98,HR+,-1,0
Array.17,HER2+,0,2
Array.33,HR+,1,-1
Array.149,HR+,-1,1
Array.101,HR+,1,0
Array.99,Triple Neg,0,0
Array.57,Triple Neg,1,0
Array.114,Triple Neg,0,-1
Array.113,Triple Neg,-1,0
Array.148,HER2+,0,2
Array.42,HER2+,1,2
Array.25,Triple Neg,0,1
Array.55,HER2+,-1,2
Array.43,HR+,-1,0
Array.52,HR+,-1,-1
Array.88,Triple Neg,1,1
Array.125,HER2+,0,2
Array.152,HER2+,-1,2
Array.50,Triple Neg,1,0
Array.23,HR+,-1,1
Array.94,HR+,-1,0
Array.153,Triple Neg,0,-1
Array.51,HER2+,1,2
Array.78,HER2+,0,2
Array.82,HR+,0,0
Array.75,HER2+,0,2
Array.2,HR+,-1,1
Array.117,HR+,-1,0
Array.38,Triple Neg,0,-1
Array.137,HR+,0,0
Array.31,Triple Neg,1,0
Array.135,Triple Neg,1,0
Array.111,Triple Neg,1,0
Array.7,HR+,-1,-1
Array.21,HER2+,0,2
Array.53,HER2+,-1,2
Array.59,HR+,-1,0
Array.47,Triple Neg,0,0
Array.64,Triple Neg,1,0
Array.30,Triple Neg,1,0
Array.10,HER2+,-1,2
Array.123,HR+,0,0
Array.134,HR+,-1,1
Array.130,HER2+,0,2
