Feature,Importance
17:35076296-35282086,1.7308155812251536
22:37683612-37705310,0.49089586312963107
1:149369522-149394958,0.46429557148093475
9:42913008-43066618,0.35853228308898233
12:9528590-9585156,0.3109189805926009
4:69215734-69311985,0.30897047335616534
23:3229-45135,0.3072693610803667
16:68710277-68751390,0.2769736338429268
3:196908262-196937230,0.2719930258635134
16:69763173-70593293,0.26960026804732734
6:32732764-32738443,0.2592095414950185
13:20633975-20649522,0.24515818915974263
1:158319014-158365270,0.2405078973304942
22:41293579-41298170,0.2334719281476411
14:105857193-105881279,0.22461917802934483
12:85986743-87258350,0.2207465688694574
16:69417987-69744010,0.21593789371524336
5:150224239-152555267,0.211947025445578
17:41062669-41447005,0.2041743771055487
1:199087690-199111062,0.20230185341121834
1:72489681-72620747,0.196859645608878
16:67314736-68371045,0.18995998866157318
12:70462057-70560603,0.18865203364417987
8:36512939-36612488,0.18850794006458144
5:802518-826044,0.18661827450912827
12:75396411-75693696,0.1768925761128867
1:120313797-120384620,0.17430765001871226
5:152572508-153979903,0.17414833056356246
22:41307174-41912419,0.17368594376287239
17:37416931-38029088,0.17249571110956496
22:41221190-41290227,0.17125445324974098
11:83733321-85064586,0.16938683322533019
5:763494-786455,0.16835380337884134
16:68880321-69381055,0.16819167080095562
15:22374850-23389141,0.1637239821699209
1:244627520-244676774,0.1630489775021943
14:73106558-73114128,0.1622695158539272
12:87329145-88538415,0.16199797798243434
6:39777677-40701218,0.16040984988554702
17:43036086-43085236,0.16025757869925633
16:30561643-31835555,0.15916560232434673
6:40747924-42826227,0.15692695556652897
17:22399576-22459548,0.15463103886902374
1:244870377-244942436,0.15200751174175012
5:154006451-157875296,0.15037478320972153
3:89488409-89516057,0.14981807985803486
12:85450052-85962613,0.14930328242647786
8:36426253-36481039,0.1483958089857807
17:77653668-77696106,0.1446537384994754
18:51767179-55758094,0.14223996954570423
17:42301553-42639030,0.14056789275800594
11:103640528-105452607,0.14029099287659255
11:105458461-107398356,0.14029099287659255
17:77704506-78562654,0.13982987655493218
20:47670139-47720625,0.1357671461505519
8:42123757-42175380,0.1345071465118569
11:109089452-114667900,0.13434757354028695
18:51630663-51747511,0.13353302454622984
12:63574243-64694907,0.1318139155559798
17:39280577-40847517,0.13180133245195952
15:23440964-23933266,0.1306766046993193
22:41917843-42643973,0.1305950430910681
16:69391442-69397102,0.1283941680345086
6:131304839-132036965,0.12807591449248057
1:244947984-244955806,0.12652953064780417
17:41458670-41494331,0.12631628130024422
17:38035466-38070950,0.1259504797303068
17:38077519-38710043,0.1259504797303068
1:193480150-193527058,0.1242629124124856
17:40859120-40926154,0.12412135247654603
17:41011530-41041674,0.1219287315416392
5:70716278-70721505,0.12148834300351144
6:32718991-32728487,0.1211736817058366
15:44193179-48393597,0.11981042522198215
4:70334625-70410860,0.11842669573580752
16:2505009-4665784,0.11836323464510312
12:75706042-77012738,0.11781085568850659
23:152994680-153054487,0.11704959257982082
17:43100477-43148025,0.11688249098792011
22:22695759-22714749,0.1166787558602153
22:22681244-22690716,0.11624418756397986
12:84542006-85443011,0.11538466141983951
6:31564655-32119501,0.11489567361244726
8:37746286-37882239,0.11381950843710822
15:18835660-18884436,0.11356796414177228
6:135286400-135498058,0.11337793625173317
20:45232779-46038929,0.11245479047962244
23:152552851-152570071,0.11243771252039096
18:48187829-51613228,0.11194716015631151
16:47717059-48773160,0.11165451382383548
7:143321677-143391065,0.11073780963503045
1:16799163-16836986,0.109858079021644
12:64727853-66012212,0.10891796017338447
8:35875555-36133992,0.10863610284964155
1:244961779-244970723,0.10741340187377538
6:135520431-136095714,0.10693925646053785
11:82599955-82867442,0.10652659147112246
20:45124342-45222725,0.10618711322142024
6:133447975-135173194,0.10616540601942742
6:32634044-32660090,0.10543061268758418
16:70601469-71161060,0.104715731304136
